iter	Passed	Remaining
697	10444	4518
698	10460	4504
699	10480	4491
700	10497	4477
701	10518	4464
702	10532	4449
703	10546	4434
704	10560	4418
705	10574	4403
706	10590	4388
707	10607	4374
708	10627	4361
709	10642	4346
710	10657	4331
711	10674	4317
712	10689	4302
713	10703	4287
714	10718	4272
715	10737	4259
716	10757	4245
717	10772	4231
718	10787	4215
719	10805	4202
720	10828	4190
721	10848	4177
722	10866	4163
723	10884	4149
724	10902	4135
725	10918	4120
726	10933	4105
727	10947	4090
728	10961	4074
729	10975	4059
730	10990	4044
731	11005	4029
732	11020	4014
733	11037	3999
734	11055	3986
735	11072	3971
736	11088	3956
737	11104	3942
738	11120	3927
739	11135	3912
740	11150	3897
741	11169	3883
742	11188	3869
743	11203	3854
744	11219	3840
745	11233	3824
746	11246	3809
747	11259	3793
748	11272	3777
749	11285	3761
750	11298	3745
751	11311	3730
752	11327	3715
753	11340	3700
754	11353	3684
755	11367	3668
756	11380	3653
757	11394	3637
758	11408	3622
759	11422	3607
760	11437	3591
761	11452	3576
762	11465	3561
763	11481	3546
764	11493	3530
765	11508	3515
766	11524	3500
767	11540	3486
768	11556	3471
769	11570	3456
770	11584	3440
771	11599	3425
772	11614	3410
773	11629	3395
774	11644	3380
775	11657	3365
776	11671	3349
777	11685	3334
778	11699	3319
779	11714	3304
780	11727	3288
781	11741	3273
782	11757	3258
783	11772	3243
784	11785	3227
785	11800	3212
786	11815	3197
787	11829	3182
788	11844	3167
789	11858	3152
790	11872	3137
791	11889	3122
792	11905	3107
793	11920	3092
794	11935	3077
795	11950	3062
796	11966	3047
797	11981	3032
798	11996	3017
799	12011	3002
800	12026	2987
801	12040	2972
802	12057	2958
803	12070	2942
804	12084	2927
805	12098	2912
806	12111	2896
807	12127	2881
808	12143	2866
809	12157	2851
810	12172	2836
811	12187	2821
812	12203	2806
813	12217	2791
814	12231	2776
815	12244	2761
816	12260	2746
817	12274	2730
818	12288	2715
819	12302	2700
820	12317	2685
821	12332	2670
822	12347	2655
823	12363	2640
824	12379	2625
825	12393	2610
826	12408	2595
827	12423	2580
828	12438	2565
829	12452	2550
830	12468	2535
831	12484	2520
832	12499	2505
833	12513	2490
834	12527	2475
835	12542	2460
836	12557	2445
837	12571	2430
838	12586	2415
839	12600	2400
840	12615	2385
841	12631	2370
842	12647	2355
843	12660	2340
844	12676	2325
845	12690	2310
846	12704	2294
847	12720	2280
848	12735	2265
849	12751	2250
850	12768	2235
851	12784	2220
852	12799	2205
853	12814	2190
854	12830	2175
855	12844	2160
856	12858	2145
857	12873	2130
858	12887	2115
859	12908	2101
860	12932	2087
861	12943	2072
862	12957	2056
863	12970	2041
864	12985	2026
865	12999	2011
866	13014	1996
867	13028	1981
868	13046	1966
869	13067	1952
870	13085	1937
871	13102	1923
872	13123	1909
873	13141	1894
874	13155	1879
875	13169	1864
876	13182	1848
877	13197	1833
878	13211	1818
879	13226	1803
880	13240	1788
881	13255	1773
882	13269	1758
883	13284	1743
884	13300	1728
885	13315	1713
886	13329	1698
887	13345	1683
888	13360	1668
889	13375	1653
890	13390	1638
891	13404	1623
892	13420	1608
893	13435	1593
894	13449	1577
895	13464	1562
896	13478	1547
897	13493	1532
898	13510	1517
899	13526	1502
900	13541	1487
901	13557	1473
902	13573	1458
903	13589	1443
904	13603	1427
905	13619	1413
906	13633	1397
907	13647	1382
908	13662	1367
909	13676	1352
910	13691	1337
911	13705	1322
912	13719	1307
913	13733	1292
914	13749	1277
915	13764	1262
916	13780	1247
917	13795	1232
918	13811	1217
919	13825	1202
920	13840	1187
921	13856	1172
922	13872	1157
923	13887	1142
924	13901	1127
925	13915	1112
926	13930	1097
927	13945	1081
928	13960	1066
929	13975	1051
930	13991	1036
931	14005	1021
932	14020	1006
933	14034	991
934	14048	976
935	14064	961
936	14079	946
937	14095	931
938	14110	916
939	14124	901
940	14138	886
941	14152	871
942	14167	856
943	14181	841
944	14196	826
945	14209	811
946	14223	796
947	14239	781
948	14253	765
949	14268	750
950	14282	735
951	14297	720
952	14312	705
953	14325	690
954	14339	675
955	14354	660
956	14370	645
957	14385	630
958	14398	615
959	14411	600
960	14424	585
961	14439	570
962	14453	555
963	14468	540
964	14483	525
965	14497	510
966	14511	495
967	14524	480
968	14540	465
969	14554	450
970	14570	435
971	14584	420
972	14600	405
973	14614	390
974	14629	375
975	14644	360
976	14658	345
977	14673	330
978	14688	315
979	14703	300
980	14719	285
981	14734	270
982	14748	255
983	14762	240
984	14777	225
985	14793	210
986	14807	195
